Название,Цена,Описание,Картинка
Motorola Moto Razr 2022 8+128Гб EUИдет работа над описанием.....85000сом.1 отзывовНет в наличии,85000сом.,Идет работа над описанием.....,https://telefon.kg/image/cache/catalog/new/Phones/Motorola/Moto Razr 2022/motorola-moto-razr-2022-1-220x220.jpg
Nothing Phone (1) 12+256Гб EUМеньше отвлекающих факторов. Больше души.Рассказано красивыми символам..35950сом.1 отзывовКупить,35950сом.,Меньше отвлекающих факторов. Больше души.Рассказано красивыми символам..,https://telefon.kg/image/cache/catalog/new/Phones/Nothing/Phone (1)/1-220x220.jpg
Nothing Phone (1) 8+256Гб EUМеньше отвлекающих факторов. Больше души.Рассказано красивыми символам..33300сом.1 отзывовНет в наличии,33300сом.,Меньше отвлекающих факторов. Больше души.Рассказано красивыми символам..,https://telefon.kg/image/cache/catalog/new/Phones/Nothing/Phone (1)/1-220x220.jpg
Sony Xperia 1 6/128Гб EUСмартфон Xperia 1В новом Xperia 1 используются передовые технологии из..55000сом.0 отзывовНет в наличии,55000сом.,Смартфон Xperia 1В новом Xperia 1 используются передовые технологии из..,https://telefon.kg/image/cache/catalog/new/Phones/Sony/Xperia 1/18-220x220.jpg
"Sony Xperia 1 II 8/256Гб EUБольше скорость, больше возможностейXperia 1 II задает новые стандарты..31000сом.0 отзывовНет в наличии",31000сом.,"Больше скорость, больше возможностейXperia 1 II задает новые стандарты..",https://telefon.kg/image/cache/catalog/new/Phones/Sony/Xperia 1 II/1-220x220.png
Sony Xperia 1 III 12+256Гб EUИдет работа над описанием.....110000сом.1 отзывовНет в наличии,110000сом.,Идет работа над описанием.....,https://telefon.kg/image/cache/catalog/new/Phones/Sony/Xperia 1 III/1 III-220x220.jpg
Sony Xperia 10 II 4+128Гб EUXperia 10 IIПревзойдите ожидания своего смартфонаВпечатляющий просмотр..28450сом.1 отзывовНет в наличии,28450сом.,Xperia 10 IIПревзойдите ожидания своего смартфонаВпечатляющий просмотр..,https://telefon.kg/image/cache/catalog/new/Phones/Sony/Xperia 10 II/Xperia 10 2-1-220x220.jpg
Sony Xperia 10 II 4+64Гб EUXperia 10 IIПревзойдите ожидания своего смартфонаВпечатляющий просмотр..28850сом.1 отзывовНет в наличии,28850сом.,Xperia 10 IIПревзойдите ожидания своего смартфонаВпечатляющий просмотр..,https://telefon.kg/image/cache/catalog/new/Phones/Sony/Xperia 10 II/Xperia 10 2-1-220x220.jpg
Sony Xperia 10 III 6+128Гб EUИдет работа над описанием.....55000сом.1 отзывовНет в наличии,55000сом.,Идет работа над описанием.....,https://telefon.kg/image/cache/catalog/new/Phones/Sony/Xperia 10 III/sony-xperia-10-iii-2-220x220.jpg
Sony Xperia 5 III 8+128Гб EUИдет работа над описанием.....93000сом.1 отзывовНет в наличии,93000сом.,Идет работа над описанием.....,https://telefon.kg/image/cache/catalog/new/Phones/Sony/Xperia 5 III/sony-xperia-5-iii-220x220.jpg
Sony Xperia Pro 12+512Гб EUИдет работа над описанием.....180000сом.1 отзывовНет в наличии,180000сом.,Идет работа над описанием.....,https://telefon.kg/image/cache/catalog/new/Phones/Sony/Xperia Pro/1-220x220.jpg
